Doctor,Hospital,City,Specialty,Experience,Rating,Cost,Reviews
Dr. Varma 295,Max Hospital,Bengaluru,Orthopedics,7,3.8,1500,Did not explain the procedure clearly.
Dr. Varma 470,Max Hospital,Mumbai,Dermatology,24,4.0,300,Great experience; highly recommended.
Dr. Reddy 255,Max Hospital,Mumbai,Cardiology,25,4.1,1200,Explained everything well and helped a lot.
Dr. Mehta 739,Manipal Hospital,Hyderabad,Pediatrics,28,4.0,1200,Friendly staff and effective treatment.
Dr. Nair 161,Fortis Hospital,Hyderabad,Dermatology,14,3.2,600,Helpful doctor but appointment scheduling is hard.
Dr. Patel 72,Manipal Hospital,Mumbai,Cardiology,17,3.8,1000,Great experience; highly recommended.
Dr. Nair 838,Aster Hospital,Mumbai,Cardiology,22,4.9,1000,Doctor is skilled but the clinic is expensive.
Dr. Sharma 166,Medanta Hospital,Mumbai,Pediatrics,23,3.8,600,Very long waiting time.
Dr. Mehta 882,Apollo Hospital,Chennai,Dermatology,16,4.6,300,Great experience; highly recommended.
Dr. Iyer 252,Medanta Hospital,Bengaluru,Cardiology,38,3.9,600,Did not explain the procedure clearly.
Dr. Nair 848,Medanta Hospital,Delhi,Orthopedics,14,4.5,600,Great experience; highly recommended.
Dr. Varma 891,Manipal Hospital,Delhi,Neurology,11,4.2,1200,Explained everything well and helped a lot.
Dr. Reddy 532,Yashoda Hospital,Chennai,Pediatrics,24,3.2,500,Good treatment but long wait times.
Dr. Reddy 657,Yashoda Hospital,Mumbai,Orthopedics,6,3.3,700,Very long waiting time.
Dr. Mehta 961,Yashoda Hospital,Delhi,Dermatology,30,3.6,300,Rude staff and not helpful.
Dr. Patel 435,Max Hospital,Delhi,Cardiology,28,3.3,1500,Rude staff and not helpful.
Dr. Nair 330,Aster Hospital,Mumbai,Pediatrics,12,3.9,1000,Very patient and skilled doctor.
Dr. Rao 765,Aster Hospital,Mumbai,Orthopedics,15,4.7,1000,Friendly staff and effective treatment.
Dr. Iyer 970,Apollo Hospital,Mumbai,Cardiology,3,4.9,600,Great experience; highly recommended.
Dr. Singh 847,Manipal Hospital,Hyderabad,Orthopedics,36,3.2,500,Unprofessional behaviour from the clinic.
Dr. Singh 83,Aster Hospital,Mumbai,Cardiology,12,4.2,500,Very long waiting time.
Dr. Rao 174,Yashoda Hospital,Chennai,Cardiology,25,4.2,700,Doctor is skilled but the clinic is expensive.
Dr. Rao 391,Aster Hospital,Chennai,Dermatology,33,4.6,800,Very patient and skilled doctor.
Dr. Patel 578,Apollo Hospital,Hyderabad,Orthopedics,7,4.9,700,Very patient and skilled doctor.
Dr. Varma 905,Manipal Hospital,Bengaluru,Neurology,40,3.9,1000,Very long waiting time.
Dr. Varma 144,Manipal Hospital,Delhi,Neurology,14,3.2,400,Doctor is skilled but the clinic is expensive.
Dr. Mehta 273,Aster Hospital,Hyderabad,Cardiology,27,4.0,1000,Explained everything well and helped a lot.
Dr. Iyer 738,Max Hospital,Mumbai,Orthopedics,31,4.2,400,Good follow-up and clear communication.
Dr. Kumar 166,Manipal Hospital,Hyderabad,Orthopedics,1,4.6,500,Great experience; highly recommended.
Dr. Iyer 675,Manipal Hospital,Mumbai,Orthopedics,35,3.3,1000,Treatment was expensive and results were average.
Dr. Nair 559,Yashoda Hospital,Delhi,Pediatrics,26,3.1,500,Did not explain the procedure clearly.
Dr. Mehta 205,Medanta Hospital,Chennai,Pediatrics,10,4.7,400,Good treatment but long wait times.
Dr. Sharma 739,Manipal Hospital,Hyderabad,Pediatrics,10,4.0,700,Very long waiting time.
Dr. Varma 208,Medanta Hospital,Hyderabad,Cardiology,25,4.9,1000,Very patient and skilled doctor.
Dr. Reddy 800,Manipal Hospital,Chennai,Dermatology,8,3.6,1000,Unprofessional behaviour from the clinic.
Dr. Kumar 711,Apollo Hospital,Chennai,Dermatology,12,3.7,300,Rude staff and not helpful.
Dr. Singh 427,Apollo Hospital,Hyderabad,Cardiology,18,4.4,1500,Good follow-up and clear communication.
Dr. Varma 333,Aster Hospital,Hyderabad,Dermatology,25,3.1,1200,Did not explain the procedure clearly.
Dr. Sharma 859,Medanta Hospital,Delhi,Cardiology,17,3.7,800,Helpful doctor but appointment scheduling is hard.
Dr. Kumar 743,Aster Hospital,Chennai,Cardiology,7,4.0,700,Good treatment but long wait times.
Dr. Sharma 858,Max Hospital,Bengaluru,Neurology,29,4.9,1000,Friendly staff and effective treatment.
Dr. Iyer 686,Max Hospital,Mumbai,Dermatology,27,3.5,500,Treatment was expensive and results were average.
Dr. Sharma 403,Apollo Hospital,Bengaluru,Cardiology,32,4.5,300,Friendly staff and effective treatment.
Dr. Patel 817,Fortis Hospital,Hyderabad,Pediatrics,37,3.5,800,Helpful doctor but appointment scheduling is hard.
Dr. Singh 886,Fortis Hospital,Delhi,Cardiology,25,3.8,600,Explained everything well and helped a lot.
Dr. Kumar 877,Aster Hospital,Bengaluru,Neurology,30,3.1,1200,Good treatment but long wait times.
Dr. Varma 282,Aster Hospital,Mumbai,Pediatrics,25,3.2,300,Rude staff and not helpful.
Dr. Mehta 637,Fortis Hospital,Delhi,Cardiology,31,3.6,600,Good treatment but long wait times.
Dr. Rao 90,Apollo Hospital,Hyderabad,Neurology,6,3.0,500,Unprofessional behaviour from the clinic.
Dr. Iyer 645,Apollo Hospital,Chennai,Orthopedics,37,4.6,1000,Friendly staff and effective treatment.
Dr. Singh 737,Apollo Hospital,Bengaluru,Pediatrics,18,3.3,400,Treatment was expensive and results were average.
Dr. Sharma 239,Medanta Hospital,Hyderabad,Cardiology,7,3.4,800,Treatment was expensive and results were average.
Dr. Nair 776,Manipal Hospital,Delhi,Neurology,5,4.1,300,Doctor is skilled but the clinic is expensive.
